他感冒了。	tā gǎn mào le。	He caught a cold.
一页版面为在一面印刷的版面设置	yī yè bǎn miàn wèi zài yī miàn yìn shuà de bǎn miàn shè zhì	The type set for printing one side of a leaf.
从这家到那家的路程要用一小时。	zòng zhè jiā dào nà jiā de lù chéng yào yòng yī xiǎo shí。	The journey takes about an hour, door to door.
你一直睡著, 这场雷雨都没把你吵醒.	nǐ yī zhí shuì著,  zhè chǎng léi yǔ dōu mò bǎ nǐ chǎo xǐng.	You slept right through the thunderstorm.
你的车子使用高级汽油可以增大马力。	nǐ de jū zi shǐ yòng gāo jí qì yóu kě yǐ zēng dà mǎ lì。	High-test gasoline will soup up your car.
我一直坐在地板上, 脚都麻木了.	wǒ yī zhí zuò zài dì bǎn shàng,  jué dōu má mù le.	I've been sitting on the floor and my foot's gone to sleep.
我认为你没有意识到局势的严重.	wǒ rèn wéi nǐ méi yǒu yì shí dào jú shì de yán zhòng.	I don't think you realize the gravity of the situation.
我脑中有一闪念, 以为他要拒绝了.	wǒ nǎo zhòng yǒu yī shǎn niàn,  yǐ wéi tā yào jù jué le.	Just for an instant I thought he was going to refuse.
失败的消息夺走了我们所有的斗志。	shī bài de xiāo xi duó zǒu le wǒ men suǒ yǒu de dòu zhì。	The news of defeat took all the fight out of us.
湿度是空气内含水分多少的量度.	shī dù shì kōng qì nèi hán shuǐ fèn duō shao de liáng dù.	Humidity is a measure of moisture in the atmosphere.
婚姻是大多数社会早已确立的制度。	hūn yīn shì dà duō shù shè huì zǎo yǐ què lì de zhì dù。	Marriage is an institution in most societies.
移民到这个国家有严格的限制。	yí mín dào zhè gè guó jiā yǒu yán gé de xiàn zhì。	There are strict controls on immigration into this country.
新规章对我们大家都会大有好处.	xīn guī zhāng duì wǒ men dà jiā dū huì dà yǒu hǎo chu.	The new regulations will be of great benefit to us all.
这所中学附属于一所师范院校。	zhè suǒ zhōng xué fù shǔ yú yī suǒ shī fàn yuàn xiào。	This middle school is attached to a teachers' college.
随着进口的增加, 需求已经减少。	suí zhe jìn kǒu de zēng jiā,  xū qiú yǐ jīng jiǎn shǎo。	Demand has been brought down by increase in imports.
这场火把城市上空映得一片通红。	zhè chǎng huǒ bǎ chéng shì shàng kōng yìng de yī piàn tōng hóng。	The fire cast a ruddy glow over the city.
她保持着长距离游泳的世界纪录。	tā bǎo chí zhuó zhǎng jù lí yóu yǒng de shì jiè jì lù。	She holds the world record for long distance swimming.
那两个国家再次终止了交往。	nà liǎng gè guó jiā zài cì zhōng zhǐ le jiāo wǎng。	Those two countries have broken off diplomatic relations again.
目前正将医药用品空投到灾区.	mù qián zhèng jiàng yī yào yòng pǐn kòng tóu dào zāi qū.	Medical supplies are being dropped to the stricken area.
他以自己的名义支持这一崇高的事业。	tā yǐ zì jǐ de míng yì zhī chí zhè yī chóng gāo de shì yè。	He has lent his name to the lofty cause.
他排队买了一张20便士的地铁车票。	tā pái duì mǎi le yī zhā2ng0 biàn shì de dì tiě jū piào。	He queued up to by his subway ticket of20 penny.
这块湿地不够坚实, 不能在上面走.	zhè kuài shī dì bù gòu jiān shí,  bù néng zài shàng mian zǒu.	This wet ground is not firm enough to walk on.
村庄零零落落地散布在山脚下。	cūn zhuāng líng líng luò luò dì sàn bù zài shān jiǎo xià。	Small villages scatter at the foot of the mountain.
他在选举中失去了议会中的席位。	tā zài xuǎn jǔ zhòng shī qù le yì huì zhòng dì xí wèi。	He lost his seat in the Parliament at the election.
读一本好书可以带来心灵的净化。	dú yī běn hào shū kě yǐ dài lái xīn líng de jìng huà。	Reading a good book may bring purification to souls.
这次考试之难出乎我的意料之外。	zhè cì kǎo shì zhī nàn chū hū wǒ de yì liào zhī wài。	The exam is more difficult than I have bargained for.
她把自己收藏的画借给了美术馆。	tā bǎ zì jǐ shōu cáng de huà jiè jǐ le měi shù guǎn。	She loaned her collection of paintings to the gallery.
近来差不多样样东西都涨价。	jìn lái cī bù duō yàng yàng dōng xi dōu zhàng jià。	In recent times the price of just about everything has gone up.
我们的足球队取得了压倒性的胜利。	wǒ men de zú qiú duì qǔ dé le yā dào xìng de shèng lì。	Our football team has won an overwhelming victory.
汽车轮一脱落, 我就想我算完了.	qì chē lún yī tuō luò,  wǒ jiù xiǎng wǒ suàn wán le.	When the wheel came off the car I thought my number was up!
作为水手获得了航海的实践经验	zuò wéi shuǐ shǒu huò dé le háng hǎi de shí jiàn jīng yàn	Gained practical experience of sailing as a deck hand.
喜讯传来，人们顿时欢呼起来。	xǐ xùn zhuàn lái， rén men dùn shí huān hū qǐ lai。	People broke into cheers at once when they heard the good news.
他对我们提出的反对意见一概置之不理。	tā duì wǒ men tí chū de fǎn duì yì jiàn yī gài zhì zhī bù lǐ。	He waved aside all out objections.
别为了丢失一支笔就这样大惊小怪。	biè wèi le diū shī yī zhī bǐ jiù zhè yàng dà jīng xiǎo guài。	Don't make so much fuss over losing a pen.
中等的中等的或一般的数量或范围的	zhōng děng de zhōng děng de huò yì bān de shù liàng huò fàn wéi de	Of medium or average quantity or extent.
我们经常思考人生的美丽与复杂。	wǒ men jīng cháng sī kǎo rén shēng de měi lì yù fù zá。	I often reflect on the beauty and complexity of life.
我们不知道这些鸟如何找到它们的路。	wǒ men bù zhī dào zhè xie niǎo rú hé zhǎo dào tā men de lù。	We have no idea how the birds find their way.
药物有时具有令人不快的副作用。	yào wù yǒu shí jù yǒu lìng rén bù kuài de fù zuò yòng。	Medicines sometimes have unpleasant side effects.
我愿本周加班工作以示诚意.	wǒ yuàn běn zhōu jiā bān gōng zuò yǐ shì chéng yì.	As an earnest of my good intentions I will work overtime this week.
在演讲开头主席开了一个玩笑。	zài yǎn jiǎng kāi tóu zhǔ xí kāi le yī gè wán xiào。	At the beginning of the speech the chairman cracked a joke.
这种坏事不是一下能扫除干净的。	zhè zhǒng huài shì bú shì yī xià néng sǎo chú gān jìng de。	Such evil practice cannot be swept away at once.
总统的讲话激励国民更加努力.	zǒng tǒng de jiǎng huà jī lì guó mín gèng jiā nǔ lì.	The President's speech impelled the nation to greater efforts.
由重重的行走或行军产生的声音	yóu chóng chóng de xíng zǒu huò xíng jūn chǎn shēng de shēng yīn	The sound produced by heavy walking or marching.
他们的研究项目实用价值很有限。	tā men de yán jiū xiàng mù shí yòng jià zhí hěn yǒu xiàn。	Their research project has limited practical utility.
我对是否接受那项工作顾虑重重。	wǒ duì shì fǒu jiē shòu nà xiàng gōng zuò gù lu:4 chóng chóng。	I have many misgivings about taking the job.
他为晚会安排了一支充满活力的乐队。	tā wèi wǎn huì ān pái le yī zhī chōng mǎn huó lì de yuè duì。	He's lined up a live band for the party.
他把公报送来，我仔细看了一遍。	tā bǎ gōng bào sòng lái， wǒ zǐ xì kàn le yī biàn。	He sent me the communique.I looked it through thoroughly.
在这个工业地区兴起一座新城市。	zài zhè gè gōng yè dì qū xīng qǐ yī zuò xīn chéng shì。	A new city has grown up in this industrial district.
那强盗以刀刺穿了那旅客的胸部。	nà qiáng dào yǐ dāo cì chuān le nà lu:3 kè de xiōng bù。	The robber thrust his sword through the traveler's bosom.
压缩周期上述机器压缩过程的周期	yā suō zhōu qī shàng shù jī qì yā suō guò chéng de zhōu qī	The engine cycle during which this process occurs.
他把旧汽车折价添钱买了辆新型号的。	tā bǎ jiù qì chē zhé jie tiān qián mǎi le liàng xīn xíng hào de。	He traded in his car for a new model.
低气压区大气压低于正常值的地区	dī qì yā qū dà qì yā dī yú zhèng cháng zhí de dì qū	A region of atmospheric pressure that is below normal.
敌人在一场决定性的战斗中被击败.	dí rén zài yī chǎng jué dìng xìng de zhàn dòu zhòng bèi jī bài.	The enemy was defeated in a decisive battle.
这位老师给他的学生们定下高标准。	zhè wèi lǎo shī jǐ tā de xué sheng men dìng xià gāo biāo zhǔn。	The teacher sets high standard for his pupils.
急需将食物和衣服送给灾民。	jí xū jiàng shí wù huò yī fu sòng jǐ zāi mín。	It is urgent that food and clothing (should) be sent to the sufferers.
这本书是他以前写的剧本的扩充。	zhè běn shū shì tā yǐ qián xiě de jù běn de kuò chōng。	This book is an expansion of the play he wrote before.
他总是把话头引到他得意的话题上去。	tā zǒng shì bǎ huà tou yǐn dào tā dé yì de huà tí shàng qù。	He always leads up to his favorite topic.
据说总统已经秘密逃往边境了。	jù shuō zǒng tǒng yǐ jīng mì mì táo wàng biān jìng le。	It is said President has escaped to the border in secret.
随着时间的推移，听众越来越多了。	suí zhe shí jiān de tuī yí， tīng zhòng yuè lái yuè duō le。	The hearers increased quickly as time went on.
贵宾们在大餐厅参加一个宴会。	guì bīn men zài dà cān tīng cān jiā yī gè yàn huì。	The guests partook of a luxurious repast in the banqueting hall.
军官用无线电向士兵下达命令.	jūn guān yòng wú xiàn diàn xiàng shì bīng xià dá mìng lìng.	The officer communicated his orders to the men by radio.
我的车轮子在汽车比赛中途脱掉了。	wǒ de jū lún zi zài qì chē bǐ sài zhōng tú tuō diào le。	My wheel twisted off in the middle of the car race.
这一项宣布引起了热烈的欢呼声.	zhè yí xiàng xuān bù yǐn qǐ le rè liè de huān hū shēng.	The announcement was greeted with much hilarity and mirth.
喜讯传来，人们顿时欢呼起来。	xǐ xùn zhuàn lái， rén men dùn shí huān hū qǐ lai。	People broke into cheers at once when they heard the good news.
今天的天气已露出了一丝秋天的气息。	jīn tiān de tiān qì yǐ lù chū le yī sī qiū tiān de qì xī。	There is a breath of autumn in the air today.
近来对古典音乐的兴趣又浓厚起来。	jìn lái duì gǔ diǎn yīn yuè de xìng qu yòu nóng hòu qǐ lai。	Interest in classic music has revived recently.
那件混纺的确良衬衣花了我九块钱。	nà jiàn hùn fǎng dí què liáng chèn yī huā le wǒ jiǔ kuài qián。	That mixed dacron shirt cost me nine yuan.
她不是一个能容忍别人玩弄的女子。	tā bú shì yī gè néng róng rěn bié rén wán nòng de nu:3 zǐ。	She's not a woman to tolerate being played with
有关各符号的意义请见左边附表.	yǒu guān gè fú hào de yì yì qǐng xiàn zuǒ biān fù biǎo.	For an explanationof the symbols see the key, inset left.
机器人逐渐代替了装配线上的工人.	jī qì rén zhú jiàn dài tì le zhuāng pèi xiàn shàng de gōng rén.	Robots are replacing people on assembly lines.
得到她丈夫的死讯, 她神经错乱了。	dé dào tā zhàng fu de sǐ xùn,  tā shén jīng cuò luàn le。	At the news of her husband's death, she went to pieces.
我们不能责怪他, 他已尽力而为了.	wǒ men bù néng zé guài tā,  tā yǐ jìn lì ér wèi le.	We can't blame him: he did his best according to his lights.
她把连衣裙放在床上以保持平整。	tā bǎ lián yì qún fàng zài chuáng shàng yǐ bǎo chí píng zhěng。	She laid her dress on the bed to keep it neat.
这家公司关心它自身的法人形象。	zhè jiā gōng sī guān xīn tā zì shēn de fǎ rén xíng xiàng。	This company is concerned about its corporate image.
国王是一个王国中最重要的人物。	guó wáng shì yī gè wáng guó zhòng zuì zhòng yào de rén wù。	The king is the most important person in a kingdom.
这只母象比小象重一百倍。	zhè zhǐ mǔ xiàng bì xiǎo xiàng zhòng yī bǎi bèi。	The mother elephant is one hundred times heavier than the baby elephant.
一花独放不是春，百花齐放春满园。	yī huā dú fàng bú shì chūn， bǎi huā qí fàng chūn mǎn yuán。	A single flower does not make a spring.
那个地方在地图上以十字形记号标出.	nèi gè dì fang zài dì tú shàng yǐ shí zì xíng jì hao biāo chū.	The place is marked on the map with a cross.
他的跳远成绩盖过了所有的选手。	tā de tiào yuǎn chéng jī gě guò le suǒ yǒu de xuǎn shǒu。	He excelled all the other contestants in the long jump.
那场争论已演变成过分的人身攻击了.	nà chǎng zhēng lùn yǐ yǎn biàn chéng guò fèn de rén shēn gōng jī le.	The argument was becoming too personal.
那些犯人被警察轻而易举地制服了。	nà xiē fàn rén bèi jǐng chá qīng ér yì jǔ de zhì fù le。	The criminals were easily overpowered by the police.
那种工作不可能做到十全十美.	nà zhòng gōng zuò bù kě néng zuò dào shí quán shí měi.	Perfection is impossible to achieve in that kind of work.
并非所有外宾均符合入境规定.	bìng fēi suǒ yǒu wài bīn jūn fú hé rù jìng guī dìng.	Not all foreign visitors satisfy/fulfil legal entry requirements.
你忽略了火车或许迟到的可能性。	nǐ hū lu:è le huǒ chē huò xǔ chí dào de kě néng xìng。	You left out the possibility that the train might be late.
我经常读报来尽量了解时事.	wǒ jīng cháng dú bào lái jìn liàng liǎo jiě shí shì.	I try to keep in touch with current events by reading the newspapers.
这人养成了服用有害麻醉品的习惯。	zhè rén yǎng chéng le fú yòng yǒu hài má zuì pǐn de xí guàn。	The man formed a habit of taking harmful drugs.
观众起立向那位歌手鼓掌达十分钟.	guān zhòng qǐ lì xiàng nà wèi gē shǒu gǔ zhǎng dá shí fēn zhōng.	The singer got a ten-minute standing ovation.
你未得许可就把汽车开走是不应该的.	nǐ wèi de xǔ kě jiù bǎ qì chē kāi zǒu shì bù yīng gāi de.	You were wrong to take the car without permission.
他的律师决定向高一级法院上诉。	tā de lu:4 shī jué dìng xiàng gāo yī jí fǎ yuàn shàng sù。	His lawyer decided to take an appeal to a higher court.
他被对手击败后，我尽力安慰他。	tā bèi duì shǒu jī bài hòu， wǒ jìn lì ān wèi tā。	I tried to comfort him after he was defeated by his opponent.
那所房子燃烧了数小时火才扑灭。	nà suǒ fáng zi rán shāo le shuò xiǎo shí huǒ cái pū miè。	The house burned for hours before the blaze was put out.
这个剧作家受到了本国人民的尊敬。	zhè gè jù zuò jiā shòu dào le běn guó rén mín de zūn jìng。	The dramatist was respected by people in his country.
我留下了张条子以便与她取得联系。	wǒ liú xià le zhāng tiáo zi yǐ biàn yù tā qǔ dé lián xì。	I left a message so as to be sure of contacting her.
旅馆工作人员等到淡季再休假.	lu:3 guǎn gōng zuò rén yuán děng dào dàn jì zài xiū jià.	Hotel workers wait until the off-season to take their holidays.
那件混纺的确良衬衣花了我九块钱。	nà jiàn hùn fǎng dí què liáng chèn yī huā le wǒ jiǔ kuài qián。	That mixed dacron shirt cost me nine yuan.
这些都是与社会福利有关的问题。	zhè xie dōu shì yù shè huì fú lì yǒu guān de wèn tí。	These are matters that bear on the welfare of the community.
资方在与工人谈判中作出了让步.	zī fāng zài yù gōng rén tán pàn zhòng zuò chū le ràng bù.	Employers made concessions to the workers in negotiations.
我所有的业余时间都用在诗歌阅读上。	wǒ suǒ yǒu de yè yú shí jiān dōu yòng zài shī gē yuè dú shàng。	I spent all my spare time reading poetry.
给她一次警告就足以制止她做那件事了.	jǐ tā yī cì jǐng gào jiù zú yǐ zhì zhǐ tā zuò nà jiàn shì le.	One warning sufficed to stop her doing it.
联合国大会是一种世界性的集会。	lián hé guó dà huì shì yī zhòng shì jiè xìng de jí huì。	The United Nations assembly is a cosmopolitan gathering.
词典中的词是按字母顺序排列的.	cí diǎn zhòng dì cí shì àn zì mǔ shùn xù pái liè de.	The words in the dictionary are arranged in alphabetical order.
造反派领袖与警察首领秘密会见。	zào fǎn pài lǐng xiù yù jǐng chá shǒu lǐng mì mì huì jiàn。	The rebel leader meet the chief of police in secret.
我们闻到厨房里的香味直流口水.	wǒ men wén dào chú fáng lǐ de xiāng wèi zhí liú kǒu shuǐ.	The delicious smell from the kitchen made our mouths water.
医生无法解释高烧何以持久不退。	yī shēng wú fǎ jiě shì gāo shāo hé yǐ chí jiǔ bù tuì。	The doctor couldn't explain the persistence of the fever.
这所房子不时进行扩建.	zhè suǒ fáng zi bù shí jìn xíng kuò jiàn.	The house has been added to (ie New rooms, etc have been built on to it) from time to time.
强迫的由强迫或压制所引起或制约的	qiǎng pò de yóu qiǎng pò huò yā zhì suǒ yǐn qǐ huò zhì yuē de	Caused or conditioned by compulsion or obsession.
未经委员会批准，我们不能动工。	wèi jīng wěi yuán huì pī zhǔn， wǒ men bù néng dòng gōng。	We can't start building without the council's approval.
我即便听了他的解释, 仍然不明白.	wǒ jí biàn tìng le tā de jiě shì,  réng rán bù míng bái.	Even after listening to his explanation I'm none the wiser.
古人认为勇敢是美德的主要成分。	gǔ rén rèn wéi yǒng gǎn shì měi dé de zhǔ yào chéng fèn。	The ancients counted courage as the main part of virtue.
这座红色的建筑物有着丰富的历史经历。	zhè zuò hóng sè de jiàn zhù wù yǒu zhe fēng fù de lì shǐ jīng lì。	This red building is steeped in history.
他的作品中含有真正引人入胜的东西。	tā de zuò pǐn zhòng hán yǒu zhēn zhèng yǐn rén rù shèng de dōng xi。	His writing contains some real goodies.
这孩子品行不好，说明家教不严。	zhè hái zi pǐn xíng bù hǎo， shuō míng jiā jiào bù yán。	That child's bad behaviour reflects on his home training.
我队要求暂停，以便商讨新的对策。	wǒ duì yāo qiú zàn tíng， yǐ biàn shāng tǎo xīn de duì cè。	Our team asked for time out to discuss a new plan.
这个国家最优秀的人才在不断外流。	zhè gè guó jiā zuì yōu xiù de rén cái zài bù duàn wài liú。	This country is being drained of its best talents.
他脸上安详的微笑使我们都冷静下来。	tā liǎn shàng ān xiáng de wēi xiào shǐ wǒ men dōu lěng jìng xia lai。	His serene smile calmed all of us down.
我队要求暂停，以便商讨新的对策。	wǒ duì yāo qiú zàn tíng， yǐ biàn shāng tǎo xīn de duì cè。	Our team asked for time out to discuss a new plan.
创造就业机会是政府必须做的事。	chuàng zào jiù yè jī huì shì zhèng fǔ bì xū zuò de shì。	Job creation has become an imperative for the government.
什么也动摇不了他要当律师的决心。	shén me yě dòng yáo bù liǎo tā yào dàng lu:4 shī de jué xīn。	Nothing can weaken his resolve to become a lawyer.
这所房子不时进行扩建.	zhè suǒ fáng zi bù shí jìn xíng kuò jiàn.	The house has been added to (ie New rooms, etc have been built on to it) from time to time.
她公开声称她的抱负是要当政治家.	tā gōng kāi shēng chēng tā de bào fù shì yào dàng zhèng zhì jiā.	Her declared ambition is to become a politician.
我一时心软同意了支付她度假的费用.	wǒ yī shí xīn ruǎn tóng yì le zhī fù tā dù jià de fèi yòng.	In a weak moment, I agreed to pay for her holiday.
她要他清理好他弄得乱七八糟的东西。	tā yào tā qīng lǐ hào tā nòng de luàn qī bā zāo de dōng xi。	She tell him to clear up the mess he have make.
你的这一班机是英国航空公司的飞机.	nǐ de zhè yī bān jī shì Yīng guó háng kōng gōng sī de fēi jī.	Your carrier for this flight is British Airways.
管理部门正在设法提高生产率.	guǎn lǐ bù mén zhèng zài shè fǎ tí gāo shēng chǎn lu:4.	The management are looking for ways of improving productivity.
稻子是大多数南方省份的主要作物。	dào zi shì dà duō shù nán fāng shěng fèn de zhǔ yào zuò wù。	Rice is the chief crop in most southern provinces.
这种新材料是航天工业的副产品.	zhè zhǒng xīn cái liào shì háng tiān gōng yè de fù chǎn pǐn.	This new material is a spin-off from the space industry.
那孩子翻著跟头从体育馆这头翻到那头.	nà hái zi fān著 gēn tou zòng tǐ yù guǎn zhè tou fān dào nà tou.	The child somersaulted across the gymnasium.
新征召的军人刚配备好个人装具。	xīn zhēng zhào de jūn rén gāng pèi bèi hào gè rén zhuāng jù。	The new intake of soldiers has just been kitted out.
把门关上，不然亮光能使底片发灰。	bǎ mén guān shàng， bù rán liàng guāng néng shǐ dǐ piàn fà huī。	Shut the door or the light will fog the film.
全体会员都被要求出席这次晚会。	quán tǐ huì yuán dōu bèi yāo qiú chū xí zhè cì wǎn huì。	It is requested that all members be present at the party.
在这个问题上公众的意见已两极分化.	zài zhè gè wèn tí shàng gōng zhòng de yì jiàn yǐ liǎng jí fēn huà.	Public opinion has polarized on this issue.
诗人写这首诗时一定非常年轻。	shī rén xiě zhè shǒu shī shí yī dìng fēi cháng nián qīng。	The poet must have been very young when he wrote this poem.
我总是每天一早就仔细查阅我的邮件.	wǒ zǒng shì měi tiān yī zǎo jiù zǐ xì chá yuè wǒ de yóu jiàn.	I always start the day by going through my mail.
那个地方在地图上以十字形记号标出。	nèi gè dì fang zài dì tú shàng yǐ shí zì xíng jì hao biāo chū。	The place is marked on the map with a crossing.
繁重的工作量迫使我取消去露营。	fán zhòng de gōng zuò liàng pò shǐ wǒ qǔ xiāo qù lù yíng。	The heavy workload forced me to cancel the camping trip.
繁重的工作量迫使我取消去露营。	fán zhòng de gōng zuò liàng pò shǐ wǒ qǔ xiāo qù lù yíng。	The heavy workload forced me to cancel the camping trip.
超出费用实际费用超过预计费用量	chāo chū fèi yòng shí jì fèi yòng chāo guò yù jì fèi yòng liàng	The amount by which actual costs exceed estimates.
这样的便服不宜在正式的场合穿.	zhè yàng de biàn fú bù yí zài zhèng shì de chǎng hé chuān.	Such casual dress would not be correct for a formal occasion.
我有许多著名足球运动员的亲笔签名.	wǒ yǒu xǔ duō著 míng zú qiú yùn dòng yuán de qīn bǐ qiān míng.	I've got lots of famous footballers' autographs.
他出名是靠他的戏剧, 并不是靠小说.	tā chū míng shì kào tā de xì jù,  bìng bù shì kào xiǎo shuō.	His fame rests more on his plays than on his novels.
命名者命名的人。如在科学分类中	mìng míng zhě mìng míng de rén。 rú zài kē xué fēn lèi zhòng	One who assigns names, as in scientific classification.
他的病较医生原来以为的更严重。	tā de bìng jiào yī shēng yuán lái yǐ wéi de gèng yán zhòng。	His illness was more serious than the doctor first thought.
她被选定在这部影片中扮演女主角。	tā bèi xuǎn dìng zài zhè bù yǐng piàn zhòng bàn yǎn nu:3 zhǔ jué。	She was chosen to play the heroine in this film.
法律的精神比它的具体条文更重要。	fǎ lu:4 de jīng shén bì tā de jù tǐ tiáo wén gèng zhòng yào。	The spirit of a law is more important than its word.
你如果不会签名，画一个十字也可以。	nǐ rú guǒ bù huì qiān míng， huà yī gè shí zì yě kě yǐ。	If you can't sign your name, make a cross instead.
他们试图预测这场足球比赛的结果。	tā men shì tú yù cè zhè chǎng zú qiú bǐ sài de jié guǒ。	They tried to forecast the result of the football match.
本议程将成为下次会议的中心议题.	běn yì chéng jiàng chéng wéi xià cì huì yì de zhōng xīn yì tí.	This agenda will form the basis of our next meeting.
夺得金牌是她又一值得骄傲的成就.	duó dé jīn pái shì tā yòu yī zhí de jiāo ào de chéng jiù.	Winning the gold medal was yet another feather in her cap.
做工作不能白做，这是明摆著的事。	zuò gōng zuò bù néng bái zuò， zhè shì míng bǎi著 de shì。	It stands to reason that nobody will work without pay.
我是最不可能去尝试回答这个问题。	wǒ shì zuì bù kě néng qù cháng shì huí dá zhè gè wèn tí。	I would be the last to attempt to answer the question.
他演讲的神态还显出有点缺乏自信.	tā yǎn jiǎng de shén tài huán xiǎn chū yǒu diǎn quē fá zì xìn.	His public speaking manner is still not very assured.
因此他们经受不住任何严重的考验。	yīn cǐ tā men jīng shòu bú zhù rèn hé yán zhòng de kǎo yàn。	That is why they cannot stand up to any serious test.
我叔叔给了我一些钱让我开始经商。	wǒ shū shu jǐ le wǒ yī xiē qián ràng wǒ kāi shǐ jīng shāng。	My uncle gave me some money to start me out in trade.
他真有胆量，穿着那身衣服去工作。	tā zhēn yǒu dǎn liàng， chuān zhuó nà shēn yī fu qù gōng zuò。	He's got a nerve, going to work dressed like that.
开会时间将由班长自行决定。	kāi huì shí jiān jiàng yóu bān zhǎng zì xíng jué dìng。	The hours of the meetings will be fixed at the monitor's discretion.
她和母亲坐着轻便双轮马车去购物。	tā huò mǔ qīn zuò zhuó qīng biàn shuāng lún mǎ chē qù gòu wù。	She and her mother got on the gig to go shopping.
复合构词法将单个字组成复合词的形式	fù hé gòu cí fǎ jiàng shàn gè zì zǔ chéng fù hé cí de xíng shì	The formation of compounds from separate words.
比率虽有下降, 但微不足道.	bǐ lu:4 suī yǒu xià jiàng,  dàn wēi bù zú dào.	The rate has fallen by an insignificant (ie too small to be important) amount.
我们或是寻求供货，或者自己制造。	wǒ men huò shì xún qiú gòng huò， huò zhě zì jǐ zhì zào。	Either we will find a supply, or we will make the goods.
每年都要花费大量金钱在烟草上。	měi nián dōu yào huā fèi dà liàng jīn qián zài yān cǎo shàng。	A high amount of money is spent on tobacco every year.
请将你方现有目录尽速寄来为盼.	qǐng jiàng nǐ fāng xiàn yǒu mù lù jìn sù jì lái wèi pàn.	Please rush me (ie send me immediately) your current catalogue.
他面带恳求的神态跪在皇帝面前。	tā miàn dài kěn qiú de shén tài guì zài huáng dì miàn qián。	He knelt in front of the emperor with a look of entreaty.
我们的邮政系统临时出了一点小问题.	wǒ men de yóu zhèng xì tǒng lín shí chū le yī diǎn xiǎo wèn tí.	There's been a slight hiccup in our mailing system.
在法国，时新的式样都是演员们首创的。	zài fǎ guó， shí xīn de shì yàng dōu shì yǎn yuán men shǒu chuàng de。	The actors set the fashion in France.
与会的人大都反对此项提议.	yù huì de rén dà dōu fǎn duì cǐ xiàng tí yì.	The feeling of the meeting (ie The opinion of the majority) was against the proposal.
我并没有从那本小说里得到多少乐趣。	wǒ bìng méi yǒu zòng nà běn xiǎo shuō lǐ dé dào duō shao lè qù。	I didn't get much enjoyment out of that novel.
小云块，碎云小云彩或与之相象的某物	xiǎo yún kuài， suì yún xiǎo yún cai huò yù zhī xiàng xiàng de mǒu wù	A small cloud or something resembling one.
她沉住气没发脾气，这是值得称赞的。	tā chén zhù qì mò fà pí qì， zhè shì zhí de chēng zàn de。	It do her credit that she manage not to get angry.
我已经把我所有的希望都寄托在你身上了。	wǒ yǐ jīng bǎ wǒ suǒ yǒu de xī wàng dōu jì tuō zài nǐ shēn shàng le。	I have staked all my hopes on you.
困扰我的不是他的工作，而是他的态度。	kùn rǎo wǒ de bú shì tā de gōng zuò， ér shì tā de tài du。	It's not his work that bothers me; it's his attitude.
老矿区的六十多个矿井正在扩建。	lǎo kuàng qū de liù shí duō gè kuàng jǐng zhèng zài kuò jiàn。	More than60 pits in old mining areas are being extended.
即使涨价后石油的消费仍在增长。	jí shǐ zhàng jià hòu shí yóu de xiāo fèi réng zài zēng zhǎng。	Consumption of oil increase even after it rise in price.
老矿区的六十多个矿井正在扩建。	lǎo kuàng qū de liù shí duō gè kuàng jǐng zhèng zài kuò jiàn。	More than60 pits in old mining areas are being extended.
比赛中的马临近终点时拉开了距离。	bǐ sài zhòng dì mǎ lín jìn zhōng diǎn shí lā kāi le jù lí。	The horse is stringing out towards the end of the race.
我刚站起身，他就挥手让我坐着。	wǒ gāng zhàn qǐ shēn， tā jiù huī shǒu ràng wǒ zuò zhuó。	I had no sooner stood up than he waved me to remain sitting.
他全神注视着这片金黄色的景色。	tā quán shén zhù shì zhuó zhè piàn jīn huáng shǎi de jǐng sè。	On this golden prospect all his attention was now fixed.
他声称创造了新纪录, 那可大有争议.	tā shēng chēng chuàng zào le xīn jì lù,  nà kě dà yǒu zhēng yì.	He made some very disputable claims about his record.
最近的事态发展使我们受到很大的鼓舞.	zuì jìn de shì tài fā zhǎn shǐ wǒ men shòu dào hěn dà de gǔ wǔ.	We are much heartened by the latest developments.
她通过与几位诗人的交往而出名了.	tā tōng guò yù jǐ wèi shī rén de jiāo wǎng ér chū míng le.	She became famous through her association with several poets.
她的美貌使她与其他女孩相比占了优势。	tā de měi mào shǐ tā yǔ qí tā nu:3 hái xiāng bǐ zhàn le yōu shì。	Her good look gave her a pull over other girls.
你仔细考虑过之后，请用传真相告。	nǐ zǐ xì kǎo lu:4 guò zhī hòu， qǐng yòng chuán zhēn xiàng gào。	After you think it over, please let me know by fax.
他们为自己的产品找到了一些新的市场。	tā men wèi zì jǐ de chǎn pǐn zhǎo dào le yī xiē xīn de shì chǎng。	They found some new outlets for their products.
接收节目前，你应该先装天线。	jiē shōu jié mù qián， nǐ yīng gāi xiān zhuāng tiān xiàn。	You should fix the television antenna before receiving programs.
客队实力太强了--把我们打得一败涂地.	kè duì shí lì tài qiáng le-- bǎ wǒ men dǎ de yī bài tú de.	The visiting team was too strong they walked all over us.
她很崇拜他, 听不进别人对他的批评.	tā hěn chóng bài tā,  tìng bù jìn bié rén duì tā de pī píng.	She worshipped him and refused to listen to his critics.
副排长叫士兵们从右首开始报数。	fù pái zhǎng jiào shì bīng men zòng yòu shǒu kāi shǐ bào shù。	The platoon sergeant numbered his men off from the right.
