愛戴	àidài	love and respect
洽商	qiàshāng	make arrangements with, talk over with
洽談	qiàtán	hold trade talk, negotiate
牽連	qiānlián	involve in trouble, implicate
簽署	qiānshǔ	sign/ initial a document
謙遜	qiānxùn	condescending
前輩	qiánbèi	senior in age/ experience/ etc.,elder, older generation
潛藏	qiáncáng	go into hiding
前程	qiánchéng	future, prospect
虔誠	qiánchéng	pious, devout
前後	qiánhòu	front and rear, around or about, altogether
前景	qiánjǐng	foreground, prospect, vista, perspective
前科	qiánkē	previous criminal record
潛力	qiánlì	latent capacity, potentiality
前提	qiántí	premise, prerequisite, presupposition
前院	qiányuàn	front courtyard
淺薄	qiǎnbó	superficial, meager, shallow
淺顯	qiǎnxiǎn	easy to read and understand, plain
腔調	qiāngdiào	tune, accent
牆角	qiángjiǎo	corner formed by two walls
強勁	qiángjìn	powerful, forceful
強求	qiángqiú	extort, exact, impose
強權	qiángquán	power, might
強壯	qiángzhuàng	strong, sturdy
橋樑	qiáoliáng	bridge lit./ fig.
巧合	qiǎohé	with coincidence
峭壁	qiàobì	cliff, precipice
蹺課	qiàokè	to avoid attending classes 
切磋	qiēcuō	learn from group discussion
切實	qièshí	feasible, practical, realistic
竊賊	qièzéi	thief, burglar
親愛	qīnài	dear, beloved
侵犯	qīnfàn	violate, infringe on sb.'s rights
侵害	qīnhài	encroach on other's rights, violate
侵略	qīnlüè	invade
欽佩	qīnpèi	admire, esteem, respect
親熱	qīnrè	warm and affectionate;closely attached to one another
親身	qīnshēn	in person, personally, first-hand
親生	qīnshēng	first kin, one's own
侵蝕	qīnshí	corrode, erode
侵襲	qīnxí	make sneak attack on
勤奮	qínfèn	diligent, assiduous
寢室	qǐnshì	bedroom, dormitory
輕薄	qīngbó	insult, harass verbally
青翠	qīngcuì	lush
清澈	qīngchè	limpid, clear
青春	qīngchūn	one's youth, young adulthood
清淡	qīngdàn	mild of flavor, placid of life
清潔	qīngjié	clean, sanitary
清靜	qīngjìng	quiet
清廉	qīnglián	honest
輕蔑	qīngmiè	indignity, flout, disdain, disparagement, scorn, contempt, dispraise, disrespect
清掃	qīngsǎo	sweeping
輕視	qīngshì	despise, slight
青蛙	qīngwā	frog
傾向	qīngxiàng	tendency, trend, inclination
輕易	qīngyì	lightly, rashly
清幽	qīngyōu	quite and exquisite
情報	qíngbào	intelligence, information
情操	qíngcāo	sentiment intellectual/ aesthetic/ etc.
情婦	qíngfù	mistress, the other woman
情節	qíngjié	story, details, plot, circumstances
情景	qíngjǐng	scene, sight, circumstances
情侶	qínglǚ	sweethearts, lovers
情趣	qíngqù	temperament, interest, appeal
情緒	qíngxù	emotions, feelings, mood
慶幸	qìngxìng	rejoice at a good outcome
丘陵	qiūlíng	hills, mounds, craggy terrain
求學	qiúxué	study, attend school
求助	qiúzhù	seek help
屈服	qūfú	surrender
趨勢	qūshì	trend, tendency
渠道	qúdào	irrigation ditch, medium/ channel of communication
取材	qǔcái	select material for book/ etc.
取締	qǔdì	ban publication old custom etc.,punish violator
取樣	qǔyàng	sampling
取悅	qǔyuè	try to please
趣味	qùwèi	fun, interest, taste, delight
圈子	quānzi	circle
全力	quánlì	all one's strength, wholehearted dedication
權力	quánlì	power, authority
全盤	quánpán	all
權威	quánwēi	authority
權益	quányì	rights and interests
泉源	quányuán	fountainhead, source
勸導	quàndǎo	admonish, advise, induce
勸告	quàngào	recommendation, advice, exhortation
缺陷	quēxiàn	flaw, shortcoming
確保	quèbǎo	ensure, guarantee
確切	quèqiè	definite, exact, precise, accurate, clear and unambiguous
確實	quèshí	really, certainly, truly, indeed
群島	qúndǎo	archipelago
群居	qúnjū	live in groups or as a group
染料	rǎnliào	dyestuff
熱潮	rècháo	upsurge
熱帶	rèdài	the tropics
熱量	rèliàng	heat
仁愛	rénài	love for one's fellow man, humanity
人次	réncì	man-times analogous to "man-hours"
人道	réndào	humanity, human sympathy
人禍	rénhuò	calamity caused by humans
人情	rénqíng	human feelings
人群	rénqún	crowd
人士	rénshì	personage
人手	rénshǒu	manpower
人選	rénxuǎn	candidates, choice among persons
人造	rénzào	synthetic, artificial
忍痛	rěntòng	very reluctantly, do sth. with reluctance
認錯	rèncuò	admit mistake, apologize
認定	rèndìng	firmly believe, set one's mind on sth.
任期	rènqí	term of office
任意	rènyì	willfully, arbitrarily
日程	rìchéng	schedule, itinerary
日益	rìyì	increasingly
融合	rónghé	mix together, fuse, stick together
溶化	rónghuà	dissolve of sugar/ etc.
容量	róngliàng	capacity of container
容器	róngqì	container
融洽	róngxiá	with mutual understanding
容納	róngnà	have capacity for, accommodate
容許	róngxǔ	permit, tolerate
榮譽	róngyù	honor
柔軟	róuruǎn	soft, lithe
肉麻	ròumá	disgusting
肉體	ròutǐ	flesh and blood, the body
如此	rúcǐ	so, such
儒家	rújiā	Confucian school
入境	rùjìng	to enter a country
入口	rùkǒu	import check
入世	rùshì	experience the real world
軟弱	ruǎnruò	flabby, faint, jellify, feeble
軟體	ruǎntǐ	software
若干	ruògān	a certain number
撒謊	sāhuǎng	tell lie, blague, lie, tell a lie, cram, falsify
塞車	sāichē	traffic jam
散文	sǎnwén	prose
喪事	sāngshì	funeral arrangement
嗓子	sǎngzi	throat, larynx, voice
喪生	sàngshēng	get killed, lose one's life
騷動	sāodòng	become restless, disturb, upset
嫂子	sǎozi	elder brother's wife
色情	sèqíng	pornographic, sexy
色澤	sèzé	color and luster
傷亡	shāngwáng	injure and die
思潮	sīcháo	trend of thought, ideological trend, thoughts
絲毫	sīháo	in the slightest amount/ degree
司令	sīlìng	commander, commanding officer
思念	sīniàn	think of, long for, miss
思維	sīwéi	thought, thinking
斯文	sīwén	cultured
私心	sīxīn	selfish motive/ idea, selfishness
松樹	sōngshù	pine tree, pine
慫恿	sǒngyǒng	instigate, incite
搜集	sōují	collect, gather
俗稱	súchēng	be commonly called...,be commonly known as...
俗語	súyǔ	common saying, folk adage
塑膠	sùjiāo	synthetic resin, plastic
訴苦	sùkǔ	to air one's grievances; to complain 
素食	sùshí	vegetarian diet
素質	sùzhí	quality, diathesis
算命	suànmìng	tell fortune
算術	suànshù	arithmetic
雖說	suīshuō	though, although
隨後	suíhòu	later on, soon after
隨即	suíjí	immediately
隨身	suíshēn	take/ have with oneself
隨同	suítóng	together; together with
隨著	suízhe	along with, in the wake of, in pace with
隧道	suìdào	tunnel
歲月	suìyuè	years, time
損害	sǔnhài	harm, damage, injure
損壞	sǔnhuài	damage, injure
損傷	sǔnshāng	harm, detriment, blemish, trauma, debit, loss, derogation, strain, hurt, lesion, scathe, damage, impairment, prejudice, wounding, wound
縮小	suōxiǎo	reduce, narrow, shrink
所得	suǒdé	income, earnings, gains
索賠	suǒpéi	claim damages
瑣碎	suǒsuì	trifling, trivial
所在	suǒzài	place, location
殺價	shājià	to haggle and beat down the price; to reduce prices; to cut price down; to knock sth. off; to drive a bargain
沙拉	shālā	salad
沙啞	shāyǎ	hoarse
傻瓜	shǎguā	fool
煞車	shāchē	to tighten, to put on the brake
剎車	shāchē	put on the brakes, brake car, turn off a machine, stop a vehicle by applying the brakes, stop a machine by cutting off the power
山峰	shānfēng	mountain peak
山谷	shāngǔ	mountain valley, dale, ravine, gorge, glen
山脈	shānmài	mountain range
閃電	shǎndiàn	lightning
閃爍	shǎnshuò	twinkle, flicker, glisten
閃耀	shǎnyào	glitter, shine, radiate
擅長	shàncháng	be good at
扇子	shànzi	fan
傷口	shāngkǒu	wound, cut
商榷	shāngquè	deliberate
商討	shāngtǎo	discuss, deliberate over
上吊	shàngdiào	hang oneself
上好	shànghǎo	first-class
上進	shàngjìn	go forward, make progress
上空	shàngkōng	in the sky, overhead
上路	shànglù	set out on journey
上門	shàngmén	visit
上司	shàngsī	superior, boss
上述	shàngshù	above-mentioned
上下	shàngxià	or so, thereabouts
上旬	shàngxún	first 10-day period of a month
上演	shàngyǎn	put on stage, perform
上癮	shàngyǐn	habituate, be addicted
燒香	shāoxiāng	burn joss sticks, fumigate
奢侈	shēchǐ	luxurious, extravagant
奢望	shēwàng	have wild wishes, have extravagant hopes
涉及	shèjí	involve, touch upon
射擊	shèjí	shoot, fire
社交	shèjiāo	social contact/ interaction
社論	shèlùn	editorial
攝取	shèqǔ	absorb, assimilate
設施	shèshī	installation, facilities
攝氏	shèshì	Celsius thermometer
射手	shèshǒu	shooter, marksman
社團	shètuán	mass organization
涉嫌	shèxián	be suspected of being involved
設想	shèxiǎng	imagine, assume, have consideration for
設置	shèzhì	set/ put up, install
深奧	shēnào	profound
深沉	shēnchén	deep, profound
深度	shēndù	depth, profundity
身段	shēnduàn	posture
深厚	shēnhòu	deep, profound, solid, deep-seated
身教	shēnjiào	teach others by one's own example
深切	shēnqiè	heartfelt, deep, profound
深入	shēnrù	go deep into, penetrate into
深造	shēnzào	pursue advanced studies
身子	shēnzi	body, health
伸張	shēnzhāng	spread
神情	shénqíng	expression, look
審核	shěnhé	examine and verify
審判	shěnpàn	try legal case
審慎	shěnshèn	cautious; circumspect
審議	shěnyì	deliberate
滲入	shènrù	permeate, seep into
聲稱	shēngchēng	profess, claim
生火	shēnghuǒ	beet, fire up, make a fire, light a fire
生理	shēnglǐ	physiology
聲明	shēngmíng	statement, pronouncement
生平	shēngpíng	all one's life of deceased
生氣	shēngqì	vitality, vigor, life
升遷	shēngqiān	be transferred and promoted
生前	shēngqián	during lifetime of deceased
生人	shēngrén	stranger
生死	shēngsǐ	life and/ or death
聲勢	shēngshì	impetus, momentum
生態	shēngtài	ecology
生物	shēngwù	living thing, organism
生效	shēngxiào	operate, become effective, effective, inure, go into effect, take effect
生硬	shēngyìng	harsh, rigid
生殖	shēngzhí	reproduce
升值	shēngzhí	[Economics] revaluation; an appreciation 
省事	shěngshì	tactful, save trouble, simplify matters
勝地	shèngdì	famous scenic spot
盛情	shèngqíng	hospitality
聖賢	shèngxián	sages
盛行	shèngxíng	be current, be in vogue
盛裝	shèngzhuāng	topdress, attire, prink
師範	shīfàn	teacher-training, pedagogical
施肥	shīféi	muck, feed, apply fertilizer, fertilize, soil, spread manure, manure, nourish, dung, compost
失靈	shīlíng	not work or not work properly, conk, malfunction, be out of order
失落	shīluò	lose, drop
失明	shīmíng	become blind, lose one's sight, go blind
失事	shīshì	mismanage, wreck, have an accident
失手	shīshǒu	accidentally drop, blunder, misplay, fumble
屍體	shītǐ	corpse, remains
施行	shīxíng	put in force, execute, implement, apply, perform
失蹤	shīzōng	be missing
時差	shíchā	time difference, jet lag, equation of time
實地	shídì	on the ground/ spot
石膏	shígāo	gypsum
時光	shíguāng	time
實踐	shíjiàn	practice
時節	shíjié	season, time
實況	shíkuàng	actual situation/ happening
實例	shílì	concrete example
時髦	shímáo	fashionable, in vogue
實習	shíxí	practice, do fieldwork
時效	shíxiào	period of effectiveness, prescription, aging
十足	shízú	100 percent;out-and-out;downright
實證	shízhèng	concrete evidence
實質	shízhí	substance, essence
使喚	shǐhuàn	order about, be bossy, use, handle
使節	shǐjié	diplomatic envoy
使勁	shǐjìn	exert all one's strength, muscle, muscle into
史料	shǐliào	historical data/ materials
使命	shǐmìng	mission
勢必	shìbì	certainly will, be bound to
事變	shìbiàn	incident, emergency, exigency
士兵	shìbīng	rank-and-file soldiers
世代	shìdài	generation, period, epoch
示範	shìfàn	demonstrate, exemplify, exhibit
釋放	shìfàng	release, set free
事故	shìgù	accident, mishap
嗜好	shìhào	hobby, addiction, habit
世間	shìjiān	earth, world
事件	shìjiàn	incident, event
試卷	shìjuàn	examination paper
視覺	shìjué	visual sense, vision
市面	shìmiàn	business/ market conditions
仕女	shìnǚ	palace maid, painting of beautiful women
市容	shìróng	appearance/ condition of a city
世事	shìshì	the current affairs, affairs of the world
逝世	shìshì	pass away, die
事態	shìtài	state of affairs
試圖	shìtú	attempt, try
事務	shìwù	work, routine, general affairs
事宜	shìyí	matters concerned, arrangement
適宜	shìyí	suitable, appropriate
適中	shìzhōng	not extreme, moderate
收藏	shōucáng	collect, store up
收費	shōufèi	collect fees, charge
收集	shōují	collect, gather
收買	shōumǎi	purchase, buy in, buy over, bribe
收縮	shōusuō	contract, shrink, concentrate one's force
收聽	shōutīng	reception, rating
收益	shōuyì	profit, gain
手冊	shǒucè	handbook, manual
首府	shǒufǔ	capital
守護	shǒuhù	guard, defend
首領	shǒulǐng	chieftain, leader
手槍	shǒuqiāng	pistol
手勢	shǒushì	gesture, sign
首飾	shǒushì	woman's jewelry, finery
首席	shǒuxí	seat of honor
首長	shǒuzhǎng	senior officer
受害	shòuhài	suffer injury/ loss, be victimized
授課	shòukè	give lessons
狩獵	shòuliè	hunt
壽星	shòuxīng	elderly person whose birthday is being celebrated
受訓	shòuxùn	receive/ undergo training
書本	shūběn	book
舒暢	shūchàng	entirely free from worry, relaxed, unbend, happy
疏導	shūdǎo	dredge, open up a path for
書面	shūmiàn	written, in written form, in writing
疏散	shūsàn	scatter, disperse, relax by taking stroll
書寫	shūxiě	write
輸血	shūxiě	[Medicine] blood transfusion 
舒展	shūzhǎn	unfold, extend, smooth out, stretch
束縛	shùfú	tie up, fetter
數據	shùjù	data
樹苗	shùmiáo	sapling
衰退	shuāituì	fail, decline
雙重	shuāngchóng	double, dual, twofold
雙打	shuāngdǎ	doubles
爽快	shuǎngkuài	straightforwardly
水道	shuǐdào	water course/ way/ route
水稻	shuǐdào	paddy rice, rice
水晶	shuǐjīng	crystal, rock crystal
水庫	shuǐkù	reservoir
水力	shuǐlì	waterpower, hydraulic power
水泥	shuǐní	cement
水源	shuǐyuán	headwaters, waterhead, source of water
睡眠	shuìmián	sleep
瞬間	shùnjiān	breath, moment, jiff, breathing space, breathing place, twinkling, trice, breathing spell, breathing time, split second, instancy, breathing, wink, blink, shake, instant, mo, breather, blink of an eye, flash, twinkle, New York minute, minute, bit, in_a_moment, second, article, tran
順應	shùnyìng	comply with, conform to
說謊	shuōhuǎng	tell a lie
說笑	shuōxiào	chat and laugh
碩士	shuòshì	Master of Arts, M.A.,eminent scholar
他人	tārén	another person; others
踏實	tàshí	dependable, at ease, solid
台階	táijiē	flight of steps, way out of awkward situation, bench
太空	tàikōng	firmament, outer space
太平	tàipíng	peaceful;peace and tranquility
態勢	tàishì	state, situation, posture
攤位	tānwèi	stand, booth, stall
貪心	tānxīn	avaricious, greedy
攤子	tānzi	vendor's stand, stall, structure of an organization, setup
談論	tánlùn	discuss
彈性	tánxìng	elasticity
坦克	tǎnkè	tank
坦然	tǎnrán	calm, unperturbed, frank, open
探病	tànbìng	visit a patient
探究	tànjiù	investigate
探索	tànsuǒ	explore, probe
探討	tàntǎo	inquire into, explore
探望	tànwàng	look about, visit
探險	tànxiǎn	explore, adventure
湯圓	tāngyuán	glutinous rice dumplings
堂堂	tángtáng	dignified, imposing, having high aspirations and boldness of vision
倘若	tǎngruò	if, supposing, in case
陶器	táoqì	pottery, earthenware
逃生	táoshēng	flee for one's life
逃稅	táoshuì	dodge tax, evade tax, evade paying one's tax, evade one's tax
淘汰	táotài	eliminate through selection/ competition, die out
套裝	tàozhuāng	suit, pantdress
特此	tècǐ	hereby
特區	tèqū	special zone
特權	tèquán	privilege, prerogative
特約	tèyuē	engage by special arrangement
特徵	tèzhēng	characteristic, trait, characteristic marks, features
疼愛	téngài	love dearly
剔除	tīchú	reject, get rid of
提拔	tíbá	promote
提倡	tíchàng	advocate, encourage, recommend
提出	tíchū	put forward, pose, raise
提及	tíjí	mention, refer to
提名	tímíng	nominate
提升	tíshēng	promote
提議	tíyì	propose, suggest
體操	tǐcāo	gymnastics, calisthenics
體格	tǐgé	physique, build
體積	tǐjī	volume, bulk
體諒	tǐliàng	make allowances for
體面	tǐmiàn	given honor, be honored
體系	tǐxì	system, setup
體驗	tǐyàn	learn through practice/ experience
體質	tǐzhí	physique, constitution
替代	tìdài	substitute for, replace, supersede
天敵	tiāndí	natural enemy
天性	tiānxìng	natural instincts, nature
天災	tiānzāi	natural disaster
田地	tiándì	farmland, cropland, plight
田徑	tiánjìng	sport
甜美	tiánměi	loved, cherished, pleasant
挑剔	tiāotī	nitpick
調和	tiáohé	mediate, reconcile, mix, blend, temper
調和	tiáohé	be in harmony
調節	tiáojié	regulate, adjust
條例	tiáolì	regulations, rules, ordinances
調皮	tiáopí	naughty
貼心	tiēxīn	intimate
聽寫	tīngxiě	dictation, dictate
停頓	tíngdùn	cease, be at a standstill, stop
停留	tíngliú	stay for a time or at a place
停滯	tíngzhì	stagnate, cease moving or making progress
通報	tōngbào	circulate notice
通車	tōngchē	be open to traffic, have transport service
通稱	tōngchēng	be generally called/ known as
通緝	tōngqì	promulgate an order for the arrest of
通行	tōngxíng	pass/ go through
通用	tōngyòng	in common use, current, general, interchangeable
同伴	tóngbàn	companion
同化	tónghuà	assimilate, take in, metabolize, absorb, ingest, imbibe, assimilation
同心	tóngxīn	united at heart or in common purpose
同鄉	tóngxiāng	fellow villager/ townsman
同業	tóngyè	same trade/ business, person of same trade/ business
統統	tǒngtǒng	all, completely
統制	tǒngzhì	control
痛恨	tònghèn	hate bitterly
偷渡	tōudù	secretly ferry, steal across international border
偷懶	tōulǎn	slack, laze, shirk, loaf on the job, truant, goldbrick, lazy, mess about
投保	tóubǎo	insure
投機	tóujī	speculate, be opportunistic
頭腦	tóunǎo	brains, mind, head, leader, main threads, clue
投入	tóurù	participate in
透過	tòuguò	via
透明	tòumíng	transparent
徒弟	túdì	apprentice, disciple
圖畫	túhuà	drawing, picture, painting
突擊	tújí	ambush, outfall, rush, thrust, blitz, onrush, sally, descent, sortie, assault, surprise attack, coup de main
途徑	tújìng	way, channel
圖騰	túténg	totem
突兀	túwù	towering, distinguished, prominent
土壤	tǔrǎng	soil
團聚	tuánjù	reunite
團員	tuányuán	member of delegation/ organization/ etc.
推測	tuīcè	infer, conjecture, guess
推出	tuīchū	present to public
推崇	tuīchóng	esteem, praise highly
推選	tuīxuǎn	elect, choose
退化	tuìhuà	degenerate, deteriorate
拖累	tuōlèi	encumber, be burden on, implicate, involve
脫身	tuōshēn	get free, extricate oneself, get away, get away
脫手	tuōshǒu	sell
拖延	tuōyán	delay, put off
妥當	tuǒdang	appropriate, proper
瓦斯	wǎsī	gas
外公	wàigōng	maternal grandfather
外號	wàihào	nickname
外力	wàilì	outside/ external force
外貿	wàimào	foreign trade
外銷	wàixiāo	sell abroad or elsewhere within country
外線	wàixiàn	exterior lines, outside phone connection
外衣	wàiyī	outer clothing/ garment, semblance, appearance
外遇	wàiyù	paramour, extramarital affair
外在	wàizài	external, extrinsic
外資	wàizī	foreign capital
彎曲	wānqū	distort
完備	wánbèi	perfect
玩弄	wánnòng	play/ juggle with, resort to, employ
頑強	wánqiáng	stubborn
挽救	wǎnjiù	save, remedy
萬分	wànfēn	extremely, enormously 
萬歲	wànsuì	banzai, heil, hurrah, long live viva
萬萬	wànwàn	absolutely
萬物	wànwù	myriads of things, all nature
惋惜	wànxí	feel sorry for/ about, pity
亡國	wángguó	lose national independence, let a state perish, subjugate a nation
往來	wǎnglái	come and go
旺季	wàngjì	peak period, busy/ high season
旺盛	wàngshèng	vigorous, exuberant
威風	wēifēng	1power and prestige 2majestic and awe-inspiring 
威力	wēilì	power, might
違背	wéibèi	violate, go against
危害	wéihài	harm, endanger
圍巾	wéijīn	muffler, scarf
圍牆	wéiqiáng	enclosing wall
圍繞	wéirào	move around, center on, revolve around
為人	wéirén	personal character/ make-up
微弱	wéiruò	faint, feeble, weak
為生	wéishēng	make a living
為首	wéishǒu	head, be headed by
微小	wéixiǎo	minute, tiny, slight
違約	wéiyuē	break one's promise, renege, violate a treaty, break contract, break promise/ engagement, welch, break a contract, violate treaty, default, break off an engagement
為止	wéizhǐ	stop here
委屈	wěiqū	1to feel wronged; to nurse a grievance; 2[Polite] to put someone under great inconvenience, etc.
萎縮	wēisuō	wither, shrivel, shrink, sag, atrophy
未必	wèibì	may not, not necessarily
為何	wèihé	why, for what reason
胃口	wèikǒu	appetite, liking
未免	wèimiǎn	rather, truly, inevitably
溫帶	wēndài	temperate zone
溫和	wēnhé	temperate, mild, moderate, gentle
溫泉	wēnquán	hot spring
溫習	wēnxí	review
溫馴	wēnxún	obedient, peaceful, tamed
瘟疫	wēnyì	pestilence
聞名	wénmíng	well-known, famous
文明	wénmíng	civilization, culture
文憑	wénpíng	diploma
文書	wénshū	document, official correspondence
文壇	wéntán	literary circles
文獻	wénxiàn	data/ documents related to a country's history/ culture/ etc.
穩健	wěnjiàn	firm, steady
紊亂	wènluàn	disorder, chaos, confusion
問世	wènshì	be published, come out
烏龜	wūguī	tortoise, cuckold
烏鴉	wūyā	crow
無比	wúbǐ	unparalleled, matchless
無疑	wúyí	beyond doubt, undoubtedly
五金	wǔjīn	five metals, ironware, the five metals, hardware, metals
武力	wǔlì	armed force
侮辱	wǔrù	insult, humiliate
武士	wǔshì	palace guard, warrior, knight
武術	wǔshù	martial art
武裝	wǔzhuāng	arm, equipped with weapons
誤差	wùchā	error
物產	wùchǎn	products, produce
誤解	wùjiě	misread, misunderstand
物品	wùpǐn	article, goods
務實	wùshí	try to be practical/ pragmatic, deal with concrete matters
物體	wùtǐ	body, substance, object
物資	wùzī	materials, goods
西服	xīfú	Western-style clothes
溪流	xīliú	brook, rivulet
西洋	xīyáng	the West, the Western world
西醫	xīyī	Western medicine
襲擊	xíjí	make surprise attack on
昔日	xírì	former days/ times
習題	xítí	exercises
席位	xíwèi	seat
喜劇	xǐjù	comedy
洗禮	xǐlǐ	baptism, severe test
喜氣	xǐqì	hilarity
喜悅	xǐyuè	happy, joyous
戲曲	xìqǔ	a drama; a play; a traditional opera
瑕疵	xiácī	flaw, blemish
峽谷	xiágǔ	gorge, canyon
狹小	xiáxiǎo	narrow and small, narrow
狹窄	xiázhǎi	narrow, cramped, narrow and limited
下筆	xiàbǐ	begin to paint, put pen to paper, begin to write
下跌	xiàdié	fall, decline, decrease
下列	xiàliè	listed below, following
下水	xiàshuǐ	water, enter the water, take to evildoing, fall into evil ways, launch, be launched
下旬	xiàxún	last 10-day period of month
仙丹	xiāndān	elixir of life
先後	xiānhòu	order, priority
先進	xiānjìn	senior in age/ experience/ etc.
鮮明	xiānmíng	bright of color, distinct, distinctive
先驅	xiānqū	pioneer, forerunner, harbinger
先天	xiāntiān	congenital, inborn, a priori, innate
纖維	xiānwéi	fiber, staple
嫌疑	xiányí	suspicion
顯現	xiǎnxiàn	appear, reveal
限度	xiàndù	limit, limitation
憲法	xiànfǎ	constitution, charter
線路	xiànlù	circuit, line, route
陷入	xiànrù	sink/ fall into, get bogged down in
獻身	xiànshēn	give one's life for, consecrate, dedicate oneself to, dedicate, devote oneself to, devote, give one's life
現行	xiànxíng	in effect/ force/ operation, current, active
現狀	xiànzhuàng	status quo, present conditions
相處	xiāngchǔ	get along with one another
相傳	xiāngchuán	hand down or pass on from one to another
相仿	xiāngfǎng	be similar, be more or less same
相符	xiāngfú	conform to, tally/ agree with, correspond to/ with
相繼	xiāngjì	in succession, one after another
相配	xiāngpèi	match, fit
鄉土	xiāngtǔ	upcountry, corny
香皂	xiāngzào	perfumed/ scented soap
想開	xiǎngkāi	think away, get over
響亮	xiǎngliàng	loud and clear, vociferous;ring_out
嚮導	xiàngdǎo	guide, cicerone
嚮往	xiàngwǎng	long for, dream of
象徵	xiàngzhēng	symbol, emblem, token
象徵	xiàngzhēng	symbolize, signify, stand for
消毒	xiāodú	disinfect, sterilize
消防	xiāofáng	fight/ prevent fire
消耗	xiāohào	consume, use up, deplete
消遣	xiāoqiǎn	make fun of ..
消遣	xiāoqiǎn	divert oneself, while away time
瀟灑	xiāosǎ	handsome and debonair, natural and unrestrained
逍遙	xiāoyáo	be free and unfettered
小販	xiǎofàn	peddler, vendor, hawker
小腿	xiǎotuǐ	shank
效法	xiàofǎ	follow example of
效勞	xiàoláo	serve, give service to, work in the service of, render service to, devote oneself to, work for, be in the service of
效力	xiàolì	effect
孝子	xiàozǐ	dutiful son, son in mourning
效忠	xiàozhōng	devote oneself heart and soul, pledge loyalty to
協辦	xiébàn	do sth. jointly
協定	xiédìng	arrange, accord, covenant
協會	xiéhuì	association, society
協商	xiéshāng	consult, talk things over
協調	xiétiáo	coordinate, harmonize, bring into line
協調	xiétiáo	concordant, matching
協議	xiéyì	agreement
協議	xiéyì	agree on
血汗	xiěhàn	blood and sweat, sweat and toil
血跡	xiějī	bloodstain
寫實	xiěshí	write/ paint realistically
血壓	xiěyā	blood pressure
寫作	xiězuò	writing
洩氣	xièqì	to feel discouraged, to lose heart, to be disheartened, to be disappointed, to be frustrated
心愛	xīnài	love, treasure
新潮	xīncháo	fashionable
心靈	xīnlíng	heart, soul, spirit
辛勤	xīnqín	industrious, hardworking
心軟	xīnruǎn	softhearted
心思	xīnsī	thought, idea, thinking
心酸	xīnsuān	feel sad, be grieved
辛酸	xīnsuān	sad, tearful
心聲	xīnshēng	heartfelt wish, aspiration, thinking
心事	xīnshì	weight on one's mind, worry
新手	xīnshǒu	new hand, raw recruit
心態	xīntài	psychology
心疼	xīnténg	love dearly; feel sorry
新興	xīnxīng	new and developing, rising, burgeoning
心胸	xīnxiōng	breadth of mind
新穎	xīnyǐng	new and original, novel
信賴	xìnlài	trust, count on, have faith in
信念	xìnniàn	faith, belief, conviction
信徒	xìntú	believer, disciple
信息	xìnxí	information, news, message
星辰	xīngchén	stars
興隆	xīnglóng	thrive, flower, flourish, prosperous, prosper
星座	xīngzuò	constellation
行善	xíngshàn	philanthropize, practise philanthropy, do kind deeds, do good works
行使	xíngshǐ	exercise, perform
刑事	xíngshì	criminal, penal
形勢	xíngshì	terrain, topographical features, situation, circumstances
型態	xíngtài	format
形態	xíngtài	form, shape, pattern, morphology
形體	xíngtǐ	physique, form and structure
行星	xíngxīng	planet
行政	xíngzhèng	administration
性能	xìngnéng	natural capacity, function of machine/ etc.,property
興起	xīngqǐ	rise, spring up, be on the upgrade
性情	xìngqíng	disposition, temperament, temper
興致	xìngzhì	interest, mood to enjoy
胸口	xiōngkǒu	pit of stomach, the middle of the chest 
修補	xiūbǔ	mend, repair, revamp
修訂	xiūdìng	revise
修好	xiūhǎo	foster cordial relations between states
修建	xiūjiàn	build, construct, erect
修女	xiūnǚ	nun, sister
修養	xiūyǎng	self-cultivation, spiritual character
修築	xiūzhú	construct, build, put up
虛擬	xūnǐ	fictitious, suppositional
虛心	xūxīn	humble, open-minded
許多	xǔduō	very many much
許久	xǔjiǔ	for a long time
許可	xǔkě	permit, allow
酗酒	xùjiǔ	drink excessively
序幕	xùmù	prologue, prelude
敘述	xùshù	narrate, recount, relate
宣稱	xuānchēng	assert, declare, profess
宣告	xuāngào	declare, proclaim
宣示	xuānshì	announce, proclaim
宣誓	xuānshì	take/ swear an oath, vow
宣言	xuānyán	declaration, manifesto
宣揚	xuānyáng	publicize, propagate, advertise
懸崖	xuányái	overhanging cliff, precipice
旋律	xuánlǜ	melody
懸殊	xuánshū	very different, a wide gap 
旋轉	xuánzhuǎn	revolve, gyrate, spin
選拔	xuǎnbá	select
選購	xuǎngòu	choose and buy
選民	xuǎnmín	voter
選票	xuǎnpiào	ballot
選修	xuǎnxiū	take as an elective
靴子	xuēzi	boots
學分	xuéfēn	course credit
學好	xuéhǎo	learn from or emulate good examples
學科	xuékē	branch of learning, course, subject, discipline
學年	xuénián	school/ academic year
學識	xuéshì	learning, knowledge, scholarly attainments
學說	xuéshuō	theory, doctrine
學徒	xuétú	apprentice, trainee
學員	xuéyuán	member of institution of learning, student
學制	xuézhì	educational/ school system, length of schooling
雪人	xuěrén	snowman, yeti
削弱	xuèruò	weaken, cripple
循環	xúnhuán	circulate, cycle.circulatory system
巡邏	xúnluó	patrol
巡視	xúnshì	make inspection tour
詢問	xúnwèn	ask about, inquire
鴉片	yāpiàn	opium
壓縮	yāsuō	condense, reduce
壓制	yāzhì	suppress, stifle, inhibit, press
